Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2025-08-04,,Crop,Odisha,Pest Incidence,,,,,"Maximum Temperatures Are Likely To Be Above Normal By 2-3°C Over Many Parts Of Odisha, Chhattisgarh, Telangana, Coastal Andhra Pradesh And Interior Karnataka. These Are Likely To Be Below Normal Or Near Normal Over Rest Parts Of The Country",,,,,,"Maximum temperatures are likely to be above normal by 2-3°C over many parts of Odisha, Chhattisgarh, Telangana, Coastal Andhra Pradesh and Interior Karnataka. These are likely to be below normal or near normal over rest parts of the country.",Minutes of the meeting of CWWG as on 04.08.2025.pdf,1,Minutes of the meeting of CWWG as on 04.08.2025_p1_c1,0.9,VERIFIED,rule_based
2025-08-11,,Crop,Odisha,Pest Incidence,,,,,"Maximum Temperatures Are Likely To Be Above Normal By 2-3°C Over Many Parts Of Odisha, Chhattisgarh, Telangana, Coastal Andhra Pradesh, Madhya Pradesh, Maharashtra, Gujarat, Rajasthan, And Interior Karnataka. These Are Likely To Be Below Normal Or Near Normal Over Rest Parts Of The Country",,,,,," Maximum temperatures are likely to be above normal by 2-3°C over many parts of Odisha, Chhattisgarh, Telangana, Coastal Andhra Pradesh, Madhya Pradesh, Maharashtra, Gujarat, Rajasthan, and Interior Karnataka. These are likely to be below normal or near normal over rest parts of the country.",Minutes of the meeting of CWWG as on 11.08.2025.pdf,1,Minutes of the meeting of CWWG as on 11.08.2025_p1_c1,0.9,VERIFIED,rule_based
2025-08-18,,Crop,Gujarat,Pest Incidence,,,,,"Maximum  Temperatures  Are  Likely  To  Be  Above  Normal  In  Many  Parts  Of  Central  India, Gujarat, Rajasthan, East Uttar Pradesh, Bihar And Ne India During The First Week",,,,,,"Maximum temperatures are likely to be above normal in many parts of Central India, Gujarat, Rajasthan, East Uttar Pradesh, Bihar and NE India during the first week.",Minutes of the meeting of CWWG as on 18.08.2025.pdf,1,Minutes of the meeting of CWWG as on 18.08.2025_p1_c1,0.9,VERIFIED,rule_based
2025-08-18,,Crop,Uttarakhand,Pest Incidence,,,,,"Maximum  Temperatures  Are  Likely  To  Be  Above  Normal  In  J&Amp;K,  Himachal  Pradesh, Uttarakhand, Arunachal Pradesh And Some Parts Of Assam During The Second Week",,,,,,"Maximum temperatures are likely to be above normal in J&amp;K, Himachal Pradesh, Uttarakhand, Arunachal Pradesh and some parts of Assam during the second week.",Minutes of the meeting of CWWG as on 18.08.2025.pdf,1,Minutes of the meeting of CWWG as on 18.08.2025_p1_c2,0.9,VERIFIED,rule_based
2025-09-08,,Crop,Karnataka,Pest Incidence,,,,,"Maximum  Temperature  Is  Likely  To  Be  Above  Normal  Over  Many  Parts  Of  Karnataka, Maharashtra, Chhattisgarh, Bihar And Arunachal Pradesh",,,,,,"Maximum temperature is likely to be above normal over many parts of Karnataka, Maharashtra, Chhattisgarh, Bihar and Arunachal Pradesh.",Minutes of the meeting of CWWG as on 08.09.2025.pdf,1,Minutes of the meeting of CWWG as on 08.09.2025_p1_c1,0.9,VERIFIED,rule_based
2025-09-22,,Crop,Gujarat,Pest Incidence,,,,,"Conditions Are Becoming Favourable For Further Withdrawal Of Southwest Monsoon From Some  More  Parts  Of  Gujarat,  Rajasthan,  Haryana  And  Punjab;  Some  Parts  Of  Himachal Pradesh, Jammu &Amp; Kashmir And Uttar Pradesh During Next 24 Hours",,,,,,"- Conditions are becoming favourable for further withdrawal of southwest monsoon from some more parts of Gujarat, Rajasthan, Haryana and Punjab; some parts of Himachal Pradesh, Jammu &amp; Kashmir and Uttar Pradesh during next 24 hours.",Minutes of the meeting of CWWG as on 22.09.2025.pdf,1,Minutes of the meeting of CWWG as on 22.09.2025_p1_c1,0.9,VERIFIED,rule_based
2025-09-29,,Crop,Gujarat,Pest Incidence,,,,,"Southwest  Monsoon  Has  Withdrawal  From  Many  Parts  Of  Gujarat  And  Rajasthan;  Entire Punjab And Haryana, Chandigarh &Amp; Delhi; Some Parts Of Madhya Pradesh, Up, Himachal Pradesh And Jammu &Amp; Kashmir Till Now",,,,,,"Southwest monsoon has withdrawal from many parts of Gujarat and Rajasthan; entire Punjab and Haryana, Chandigarh &amp; Delhi; some parts of Madhya Pradesh, UP, Himachal Pradesh and Jammu &amp; Kashmir till now.",Minutes of the meeting of CWWG as on 29.09.2025.pdf,1,Minutes of the meeting of CWWG as on 29.09.2025_p1_c1,0.9,VERIFIED,rule_based
2025-09-29,,Crop,Gujarat,Pest Incidence,,,,,"Overall, Maximum Temperatures Are Likely To Be Above Normal By 3-5°C Over Most Parts Of Northeast India; Above Normal By 2-4°C Over Most Parts Of Northwest India, Gujarat And Bihar. These Are Very Likely To Be Near Normal Or Below Normal Over Remaining Parts Of The Country During The Week",,,,,,"Overall, maximum temperatures are likely to be above normal by 3-5°C over most parts of northeast India; above normal by 2-4°C over most parts of northwest India, Gujarat and Bihar. These are very likely to be near normal or below normal over remaining parts of the country during the week.",Minutes of the meeting of CWWG as on 29.09.2025.pdf,1,Minutes of the meeting of CWWG as on 29.09.2025_p1_c2,0.9,VERIFIED,rule_based
2025-10-06,,Crop,Gujarat,Pest Incidence,,,,,"Southwest  Monsoon  Has  Withdrawal  From  Many  Parts  Of  Gujarat  And  Rajasthan;  Entire Punjab And Haryana, Chandigarh &Amp; Delhi; Some Parts Of Madhya Pradesh, Up, Himachal Pradesh And Jammu &Amp; Kashmir Till Now",,,,,,"Southwest monsoon has withdrawal from many parts of Gujarat and Rajasthan; entire Punjab and Haryana, Chandigarh &amp; Delhi; some parts of Madhya Pradesh, UP, Himachal Pradesh and Jammu &amp; Kashmir till now.",Minutes of the meeting of CWWG as on 06.10.2025 ..pdf,1,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c1,0.9,VERIFIED,rule_based
2025-10-06,,Crop,Maharashtra,Pest Incidence,,,,,Conditions Are Favourable For Further Withdrawal Of Southwest Monsoon From Some More Parts Of Madhya Pradesh And Uttar Pradesh And Some Parts Of Maharashtra During Next 45 Days,,,,,,- Conditions are favourable for further withdrawal of southwest monsoon from some more parts of Madhya Pradesh and Uttar Pradesh and some parts of Maharashtra during next 45 days.,Minutes of the meeting of CWWG as on 06.10.2025 ..pdf,1,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c2,0.9,VERIFIED,rule_based
